matricule;prenom;nom;date_naissance;parcours;niveau;UE1;UE2;UE3;UE5;UE6;UE7;UE8;UE1_credit;UE2_credit;UE3_credit;UE5_credit;UE6_credit;UE7_credit;UE8_credit;UE1_nom;UE2_nom;UE3_nom;UE5_nom;UE6_nom;UE7_nom;UE8_nom
20230018;Chloé;Simon;14/02/2002;INFIRMIER GENERAL;PACES;14.1;15.6;13.1;12.6;14.6;15.1;16.6;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230019;Nicolas;Girard;30/06/2000;SAGE-FEMME;L1;13.6;12.1;14.1;15.6;16.1;14.6;13.1;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230020;Camille;Laurent;25/10/2001;KINESITHERAPIE;L1;15.1;14.6;13.6;12.1;13.1;15.6;14.1;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230021;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.7;14.2;13.7;11.2;15.7;16.2;14.7;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230022;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.2;13.7;14.2;12.7;14.7;15.7;13.2;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230023;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.7;12.2;13.0;14.7;15.2;13.7;12.7;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230024;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.7;15.7;13.0;12.2;14.2;16.7;15.2;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230025;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.2;14.7;15.2;11.7;12.7;14.2;13.7;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230026;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.7;16.2;14.5;13.2;15.2;13.7;14.2;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230027;Thomas;Roux;20/08/1999;INFIRMIER GENERAL;PACES;12.2;13.7;14.5;15.2;11.7;12.7;13.2;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230028;Chloé;Simon;14/02/2002;INFIRMIER GENERAL;PACES;14.2;15.7;13.2;12.7;14.7;15.2;16.7;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230029;Nicolas;Girard;30/06/2000;SAGE-FEMME;L1;13.7;12.2;14.2;15.7;16.2;14.7;13.2;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230030;Camille;Laurent;25/10/2001;KINESITHERAPIE;L1;15.2;14.7;13.7;12.2;13.2;15.7;14.2;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230031;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.8;14.3;13.8;11.3;15.8;16.3;14.8;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230032;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.3;13.8;14.3;12.8;14.8;15.8;13.3;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230033;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.8;12.3;13.0;14.8;15.3;13.8;12.8;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230034;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.8;15.8;13.0;12.3;14.3;16.8;15.3;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230035;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.3;14.8;15.3;11.8;12.8;14.3;13.8;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230036;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.8;16.3;14.5;13.3;15.3;13.8;14.3;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230037;Thomas;Roux;20/08/1999;INFIRMIER GENERAL;PACES;12.3;13.8;14.5;15.3;11.8;12.8;13.3;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230038;Chloé;Simon;14/02/2002;INFIRMIER GENERAL;PACES;14.3;15.8;13.3;12.8;14.8;15.3;16.8;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230039;Nicolas;Girard;30/06/2000;SAGE-FEMME;L1;13.8;12.3;14.3;15.8;16.3;14.8;13.3;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230040;Camille;Laurent;25/10/2001;KINESITHERAPIE;L1;15.3;14.8;13.8;12.3;13.3;15.8;14.3;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230041;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.9;14.4;13.9;11.4;15.9;16.4;14.9;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230042;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.4;13.9;14.4;12.9;14.9;15.9;13.4;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230043;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.9;12.4;13.0;14.9;15.4;13.9;12.9;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230044;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.9;15.9;13.0;12.4;14.4;16.9;15.4;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230045;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.4;14.9;15.4;11.9;12.9;14.4;13.9;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230046;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.9;16.4;14.5;13.4;15.4;13.9;14.4;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230047;Thomas;Roux;20/08/1999;INFIRMIER GENERAL;PACES;12.4;13.9;14.5;15.4;11.9;12.9;13.4;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230048;Chloé;Simon;14/02/2002;INFIRMIER GENERAL;PACES;14.4;15.9;13.4;12.9;14.9;15.4;16.9;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230049;Nicolas;Girard;30/06/2000;SAGE-FEMME;L1;13.9;12.4;14.4;15.9;16.4;14.9;13.4;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230050;Camille;Laurent;25/10/2001;KINESITHERAPIE;L1;15.4;14.9;13.9;12.4;13.4;15.9;14.4;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230051;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.10;14.5;13.10;11.5;15.10;16.5;14.10;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230052;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.5;13.10;14.5;12.10;14.10;15.10;13.5;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230053;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.10;12.5;13.0;14.10;15.5;13.10;12.10;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230054;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.10;15.10;13.0;12.5;14.5;16.10;15.5;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230055;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.5;14.10;15.5;11.10;12.10;14.5;13.10;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230056;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.10;16.5;14.5;13.5;15.5;13.10;14.5;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230057;Thomas;Roux;20/08/1999;INFIRMIER GENERAL;PACES;12.5;13.10;14.5;15.5;11.10;12.10;13.5;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230058;Chloé;Simon;14/02/2002;INFIRMIER GENERAL;PACES;14.5;15.10;13.5;12.10;14.10;15.5;16.10;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230059;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.6;14.1;13.6;11.1;15.6;16.1;14.6;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230060;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.1;13.6;14.1;12.6;14.6;15.6;13.1;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230061;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.6;12.1;13.0;14.6;15.1;13.6;12.6;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230062;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.6;15.6;13.0;12.1;14.1;16.6;15.1;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230063;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.1;14.6;15.1;11.6;12.6;14.1;13.6;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230064;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.6;16.1;14.5;13.1;15.1;13.6;14.1;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
